"","X1","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTableService","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"1",139058.1,"kBfz-4wxdyNb3OOip3e2xw","Sushi In Summerlin","7450 W Cheyenne Ave, Ste 118","Las Vegas","NV","89129",36.21907,-115.25912,3,40,0,"True",TRUE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","False","u'quiet'",NA,"True","2","False",NA,"{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","True","u'no'","u'beer_and_wine'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'yes_free'",NA,NA,NA,NA,"False"
"2",60940,"YKbJP76PSTRXqTU_GNKoeQ","Politica Resto Bar","127 Strachan Avenue","Toronto","ON","M6J 2S7",43.64332,-79.41205,4,20,0,"False",TRUE,NA,"{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}","False","u'average'",NA,"False","3","True","True","{'romantic': False","'intimate': True","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","False","u'no'","u'full_bar'","u'casual'","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",112099.1,"kNij6LlC65nxugxAJyEGVw","Papa John's Pizza","5060 Boulder Hwy","Las Vegas","NV","89122",36.11103,-115.06333,2,32,1,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","False","'average'",NA,"True","1","False","False","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","False","u'no'","u'none'","'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",155945.1,"69TTOqH18qztsroIii4e6A","Gator's Grille formerly JD's Pub","3410 Saxonburg Blvd","Glenshaw","PA","15116",40.54985,-79.91299,3.5,37,1,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","u'average'",NA,"True","2","True","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","'free'","u'full_bar'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",189172.1,"6bttTDLU4j4GeG7QnvU84Q","Nonna's Place","1419 Bloor St W","Toronto","ON","M6P 3L4",43.65712,-79.44777,4,18,1,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","True","u'quiet'",NA,"True","1","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","'no'","u'none'","u'casual'","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",26387,"E2inSSpEOeOnC1reFPC2-w","Pho Kitchen","6820 Spring Mountain Rd, Ste C111","Las Vegas","NV","89146",36.1269,-115.24113,4.5,21,0,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}",NA,"'quiet'","True","True","2","False",NA,"{'touristy': False","'hipster': False","'romantic': False","'divey': False","'intimate': False","'trendy': False","'upscale': False","'classy': False","'casual': True}",NA,NA,NA,"'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",158540,"iwh-33qk0BqMcp3qnMLOBg","Irie Jamaica Restaurant","2727 E Broadway Rd","Phoenix","AZ","85040",33.40667,-112.02249,3.5,8,0,"False",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}",NA,NA,NA,"True","2","True",NA,"{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': False}",NA,NA,"u'none'","'casual'","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",138849.1,"5ZqybrqiTdbANn2yI3B3VA","Great Wall","4515 Verona Rd","Madison","WI","53711",43.03524,-89.4536,3.5,25,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","True",NA,NA,"True","2","False","False","None","False","u'free'","u'none'","'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",35687,"ZsGnt11KrZdvtuY67sxpQw","Nino's Kitchen","100 S Rampart Blvd","Las Vegas","NV","89145",36.17301,-115.28606,3.5,25,1,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': False","'brunch': True","'breakfast': True}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'","True","True","2","True","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","True","u'free'","u'full_bar'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA
"10",152348,"l_ImU9UjDbHGxy_Jl7fyGw","Captain's Fish & Chips","Brentwood Village Mall","Calgary","AB","T3A 0R9",51.08537,-114.12625,3,4,1,"True",FALSE,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"u'none'",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Fast Food, Seafood",NA,NA,NA,NA,NA,NA,NA
"11",105260,"6mnjYZM40r67smOXrg6R4g","Benvenuto's Italian Grill","1849 Northport Dr","Madison","WI","53704",43.1289,-89.36005,3,59,1,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","u'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","True","'free'","u'full_bar'","u'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",188935,"bLhg6X_z6x1oqH5R08kBJg","KFC","655 N Arizona Ave","Chandler","AZ","85225",33.315,-111.841,1,8,0,"True",FALSE,NA,NA,"True",NA,NA,"True","1","False","True",NA,"False","'no'","'none'","u'casual'","False","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chicken Wings, Fast Food, American (New), Restaurants","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0"
"13",146518,"wP7rb72w0SMbwQ_tVV5TBw","At My Place Cafe","2121 W Guadalupe Rd, Ste 8","Mesa","AZ","85202",33.36342,-111.87918,4.5,160,1,"True",TRUE,"{'dessert': True","'latenight': False","'lunch': True","'dinner': True","'brunch': True","'breakfast': True}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'","False","True","1","False","False","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","u'free'","u'none'","'casual'","True","False","True","False",NA,NA,NA,NA,NA,NA,NA,"True","False",NA
"14",40777,"KSSl9KcZrcqbYlr-vT5sjg","Morelia's Cafe","620 Nygaard St","Stoughton","WI","53589",42.92288,-89.24968,3.5,10,0,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}",NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"u'full_bar'","u'casual'","True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cafes, Restaurants, Breakfast & Brunch, Waffles","6:0-22:0","6:0-22:0"
"15",36147.1,"7Av7uSgowKNGQtnxWxcKxg","Pizza Marsala","2677 Monroeville Blvd","Monroeville","PA","15146",40.43557,-79.78261,3.5,31,1,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","True","'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","True","'no'","'none'","'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",39591.1,"de2E6-wKURd0RLJaq8mrTg","Happy's Pizza","15020 Puritas Ave","Cleveland","OH","44135",41.43457,-81.80187,2,16,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': False}","True","u'free'","u'none'","u'casual'","False","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",33972,"RMekqD2-hGWHCjXYvp7CSg","Perlé","25 Market Square","Pittsburgh","PA","15222",40.44103,-80.00294,3.5,47,1,"False",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}",NA,"u'very_loud'",NA,"False","2","False","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': True","'upscale': False","'casual': False}","False",NA,"u'full_bar'","u'dressy'","True","False","True",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA
"18",153984,"5uk8eUTiRS_Y5p_EjnrfkQ","Bonanno's New York Pizzeria","Flamingo Hotel and Casino, 3555 Las Vegas Blvd S","Las Vegas","NV","89109",36.11637,-115.17204,3,46,1,"True",FALSE,"{'dessert': False","'latenight': True","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","False","u'average'",NA,"True","1","False","False","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","u'no'","'beer_and_wine'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",36494.1,"xSs1Z1OrWC_KmhY0SPKJ1Q","Shiki Japanese Restaurant","1848 Galleria Blvd, Ste K","Charlotte","NC","28270",35.13871,-80.73506,3.5,91,1,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': True","'validated': False","'lot': True","'valet': False}","True","'average'",NA,"True","1","True","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","u'free'","u'beer_and_wine'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",89816.1,"hjjJFekF7f3j9Ayy1KPjzg","Reba's Cafe","3289 Dundas Street W","Toronto","ON","M6P 2A5",43.66548,-79.4799,4,6,0,NA,NA,NA,"{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}",NA,NA,NA,NA,"1","True",NA,NA,NA,"u'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee & Tea, Electronics, Musical Instruments & Teachers, Shopping, Restaurants, Food, Cafes",NA,"8:30-18:0","8:30-18:0"
"21",112490,"ygJshif4VuxL1ijnRJnuYA","Lee Garden Restaurant","331 Spadina Avenue","Toronto","ON","M5T 2E9",43.65466,-79.39843,3.5,105,0,"True",TRUE,NA,"{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}","False","u'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","u'no'","'beer_and_wine'","u'casual'","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",42418.1,"f-ookZOX4pBNldaOHMkJ4A","Hong Shing Chinese Restaurant","195 Dundas Street W","Toronto","ON","M5G 1C7",43.65499,-79.38693,3,144,1,"True",FALSE,"{'dessert': False","'latenight': True","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}","True","u'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","u'free'","u'full_bar'","u'casual'","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",68231.1,"Jwwkt9oAKsNF4AuItTIdPw","Schlotzsky's","5119 West Charleston","Las Vegas","NV","89146",36.15869,-115.20923,4,117,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'",NA,"True","1","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","'no'","u'none'","u'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",169572,"dVvij7VRh55dISu02I0IGw","Sangria y Tapas Bar & Restaurant","27200 Detroit Rd","Westlake","OH","44145",41.46749,-81.92182,4.5,164,1,"False",TRUE,"{'dessert': True","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","u'average'","True","True","2","True","True","{'touristy': False","'hipster': False","'romantic': True","'divey': False","'intimate': False","'trendy': False","'upscale': False","'classy': True","'casual': False}","True","u'free'","'full_bar'","'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA
